LFP WHRS KL6 K618 WA WE WW RPWG HHRS HA HE HW FAMINC MTR WMED WFED UN CIT AX
1 1153 0 1 31 12  4.3365  4.52 3000 35 12  1.8333 13120 .7215  7 10  7.5 1 13
1 2208 0 1 48 12  4.9819  5.31 1892 52 12  5.6025 21660 .6615 12 14  5.0 1 19
1  252 0 2 32 12  0.3571  0.00 3644 32 12  4.2975 18190 .7215  7  7  3.0 0  2
1  337 0 0 49 17  2.9674  0.00 1430 47 17  3.9161  9600 .7515  3  3 14.0 1 24
1   90 2 2 32 15  1.0000  0.00 2350 31 14  4.8787 13755 .7515 10 12  7.5 1  9
1 1174 0 0 58 12  2.5554  4.87 1948 59 16  9.2402 35350 .6615  7 12  7.5 1  6
1  372 0 0 50  6  0.8602  2.25 1804 42 12  6.6519 12405 .7215 12  7  7.5 1 22
1   30 0 0 60 14  1.0000  0.00 2326 51 12  4.6217 12180 .7515 12 17  9.5 0 30
1 1800 0 1 50 12  2.9261  0.00 1739 55 11  9.9741 22962 .6615  7  3  7.5 1 10
1  282 0 0 56 14  3.5461  2.50 1176 57 17 20.9180 25700 .6215  7  7  9.5 1  6
1  720 0 0 51  9  1.6264  2.20 1100 55  8  1.9400  3305 .7915  7  7  3.0 0 29
1 1440 0 1 54 17  8.3333  6.00 1528 58 17  8.8351 32950 .5815  7 12  5.0 1 29
1 2100 0 0 59 13  3.0952  2.95 2250 52 15  4.6667 17000 .6915  7  7  5.0 1 36
1 1000 0 2 46  9  2.7000  2.35 1927 47 10  5.1894 13250 .7515  7  7  5.0 1 19
1  952 0 1 46 15  5.2521  0.00 2414 47 16 18.7240 50750 .4415  7 12  5.0 1  8
1 1413 1 3 39 12  1.4154  2.20  768 49  8 10.4170 15632 .7715 10 10 14.0 0 13
1 2100 0 2 44 12  4.7986  4.85 1984 43 14  8.8458 28316 .6215  7  0 11.0 1 16
1  120 2 0 33 12  1.6667  2.37 2246 36 12  7.5690 17290 .7215 12 12  9.5 1 11
1 3000 1 2 33 12  1.1217  0.00 3024 30 17  4.4507 33600 .6215 10 10  7.5 1 15
1 1000 0 2 48 12  0.5000  0.00 2921 52 12  9.3204 29200 .6215 12  7  9.0 1  6
1  336 0 4 31 12  0.7143  0.00 2045 37 17  9.1687 19870 .6915  7  7 11.0 0 13
1 1216 0 1 45 12  2.7961  2.90 1928 44 12  6.4834 16225 .7215  7  7 11.0 0 22
1  988 0 1 45 12  4.8583  4.50 1920 44 10  7.8125 28600 .6915  7  3  5.0 1 24
1 2581 0 2 32 13  1.7435  2.60 2280 37 17 11.4040 30800 .5815 14 12  7.5 1  2
1 2030 0 0 47 12  2.4631  2.80 2300 47 17  5.0870 25700 .6915  7  7  3.0 0  6
1  413 0 2 34 13  2.4213  3.00 2480 35 13  6.9758 27000 .6215 12 12  3.0 0  2
1  782 0 1 37 12  1.5345  2.30 1135 34 10  5.2863 12077 .7715 12  7  9.5 1  2
1 1388 0 1 36 12  2.8818  1.87 1384 39 12 11.5620 29612 .6615  7  7 11.0 0 14
1 1450 1 2 47 12  2.4069  3.00 1848 50 14  8.6061 24479 .6915  7 10  9.5 1  9
1 1720 0 1 48 16  5.2326  4.68 2499 46 17 12.8050 79750 .4415 14 14  7.5 1 11
1  800 0 2 42 12  3.7500  2.50 2390 43 12  6.6946 20050 .6915 12  7 11.0 0  9
1  360 0 3 33 13  1.3889  0.00 2400 44 14  8.3333 21500 .6915 10 12 11.0 1  6
1 2000 0 0 46 11  4.0000  4.61 1920 53  8  4.1667 16120 .6915  7  7  5.0 0 19
1 1176 0 3 47 12  3.2313  3.35 2301 48 13  5.4759 24686 .7215  7  7  9.5 0 26
1 2058 0 1 44 12  3.4014  3.80 1944 43 10  5.1440 24669 .6915  7 10  9.5 1 19
1  900 0 4 36 12  1.3333  2.20 2100 37 17 11.6670 26400 .6615  7  7  7.5 1  3
1  215 2 0 31 17  9.3023  9.98 1920 32 16  7.2917 16245 .7215 12 12  7.5 1  7
1 2000 0 0 55 14  4.5000  4.37 2880 55 14  4.8611 23300 .6615  7  7  9.5 1 28
1  757 0 1 45 16  4.6235  4.50 1932 48 16 12.1640 27200 .6215 12  7  9.5 1 13
1 1264 0 0 47 17  3.9557  0.00 3234 48 17 10.8230 51000 .4615 10 17  9.5 1  9
1 2064 0 3 46 12  5.8140  6.00 2805 47 12 12.4780 55000 .4615 10  7 14.0 1 15
1 1280 0 0 49 11  0.5000  0.00 2272 52  9  6.1620 15389 .7215  7  7  7.5 1 20
1 1715 0 0 49 12  4.0816  3.75 2227 52 14  7.1846 23150 .6615  7  7  9.5 1 29
1 2000 0 2 45 12  6.0000  4.95 1720 49  6  7.0930 29774 .6215  7 10 14.0 1  9
1   12 1 3 38 17  3.6667  0.00 2300 38 13 17.8260 91044 .4415 12 10 14.0 1  1
1 1528 0 0 47 10  3.8613  2.95 3410 50 12  6.3930 28200 .5815  7 12 14.0 1  8
1  561 0 3 54 13  2.7629  2.53 2304 57 16 11.7190 36150 .5515  7  7  9.5 1 19
1 2058 0 0 41 11  2.9310  2.90 1984 42 12  4.7883 15652 .7215 12 12  7.5 0 23
1 1823 0 2 43 12  4.3884  4.20 1890 33 14  4.2328 18900 .7515 14  7 11.0 0  3
1 1680 1 1 31 16  5.4167  4.70 1970 32 12  7.1066 23600 .6615 12 10  7.5 0 13
1 1440 0 0 47 17  9.8611  7.10 2400 46 12  8.3333 36200 .6100  7  7  7.5 1  8
1 4950 0 2 35 12   .1616  2.75 2504 37 12  6.9888 18700 .6915 10 10  7.5 0 17
1 1176 0 3 45 16   .3826  3.75 2398 48 17  9.5913 24125 .6615  7  7 11.0 1  4
1 1100 1 0 33 12  3.6364  3.58 1960 39 12  6.0204 15800 .7215  7  7  7.5 0 15
1 1516 0 1 54 16  2.3747  2.40 2550 55 12  2.9686 19742 .7215 12  7  3.0 0 11
1  900 0 4 35  8  4.6667  3.95 2500 41 12  7.0000 22600 .6915 10  7  9.5 0  7
1 1080 1 2 31 12  1.8519  2.25 2164 37 10  7.1627 17500 .7215  7  7  7.5 0  0
1  480 0 0 55 12  5.2000  0.00 2640 60 12  4.7364 19820 .6915  7  7  7.5 0  0
1  288 0 2 34 12  3.2986  4.62 1936 36 12  8.7810 20155 .6915 12 16 11.0 1 10
1 1875 0 1 38 13  8.5333  8.50 2136 41 12  9.8315 37300 .5800 10 12  7.5 1  8
1  630 0 1 45 11  2.0635  0.00 1955 51 10  6.6496 24860 .7215  7  7  7.5 1  2
1  234 0 1 47 12  2.5641  2.50 1980 48 10  9.8485 21450 .6615 12  3  7.5 1  4
1 1600 0 2 39 12  2.1875  0.00 2550 42 11  9.8039 29650 .6215  7  7  5.0 1  6
1  960 1 0 36 14  6.2500  0.00 2058 37 13  8.2604 23000 .6615  7  7 11.0 1 18
1  120 1 2 33 12  3.3333  0.00 2263 32 14  9.0676 21120 .6915  7  7  9.0 1  3
1 2025 0 0 50 12  4.4444  4.80 1763 54 13  8.5082 26000 .6215  7 12  5.0 1 22
1 1809 0 0 58 12  6.6335  6.45 2096 59 14  7.1565 28000 .6215  3  7  7.5 1 33
1 3087 0 0 49 17  8.4224  9.98 2059 47 13  7.0423 45500 .5200 12 12 11.0 1 28
1  910 0 2 41 14  4.3956  0.00 1820 40 17  6.5934 16000 .7215 16 12 14.0 1 23
1 1840 0 1 51 12  2.4457  2.50 2832 53  8  4.3457 18232 .6915  7 14 11.0 0 27
1  784 0 0 53  9  1.2245  2.25 1990 60 10  7.2362 28160 .7215  3  7 14.0 1 11
1  400 1 2 36 12  1.6250  0.00 2000 40  7  1.7400  5965 .8015 12  7 11.0 1  6
1 1000 0 2 46 12  3.0000  5.50 1885 46 12  6.8966 19000 .7215  7  7  9.5 1 11
1 1904 0 2 36 12  4.7269  4.20 2860 37 12  5.0455 36872 .5515 12 12 11.0 1 14
1 1771 0 1 53 14  1.1293  9.98 1913 48 16 17.2500 42000 .4915 12 12 14.0 1 17
1 1486 0 3 40 16  7.4024  6.25 1800 54 16  8.3333 26900 .6215 16 14 11.0 1 17
1  740 0 2 42 17  4.4595  1.65 2880 45 16  9.3750 30800 .5815 12 10  9.0 0 14
1 1820 1 1 33 15  2.4725  0.00 1993 32 16  8.2790 21520 .6915 12 12 11.0 1 11
1 1275 0 3 43 12  1.8824  3.00 2250 47 14  4.5000 24795 .6915  7  7  7.5 1  7
1  450 1 0 31 16  4.0000  4.00 2286 30 16  4.1995 12900 .7215 14 16 14.0 1  8
1 1221 0 0 47 17  8.1900  5.99 1880 47 16 16.0640 42700 .4915  7  7  7.5 1  6
1 1550 0 0 54 17  7.0968  6.00 2350 58 17 11.2770 38800 .5215 10 17 11.0 1  8
1  180 1 3 33 12  1.6667  0.00 3640 33 11  0.5494  2500 .9415  7  3  3.0 0  4
1 2090 0 0 43 16  3.4450  3.85 1770 47 14  9.5480 26921 .6215 14 10 11.0 1 25
1 1960 0 1 46 13  4.2347  4.20 1875 49 13  5.3333 18300 .6915  7  9  3.0 0 24
1 1440 0 3 35 12  2.7778  4.10 2200 38  9  5.4545 17200 .7215  7  7 14.0 1 11
1  794 0 3 37 11  1.8892  3.85 2033 39 12  5.9026 14209 .7515 12  3  9.5 1 19
1  993 0 2 37 16  5.0352  8.30 2739 39 17  9.8576 32300 .5815 12 16 14.0 1  9
1  160 0 3 34 14  1.2500  0.00 1626 38 14 11.6850 21400 .7215 17 12  7.5 1 19
1  105 1 0 43 16  2.8571  0.00 2248 44 17  6.2278 14700 .7215  7  7  9.5 0 14
1 1200 0 0 46 12  4.1167  4.33 2140 48 12  9.1748 25516 .6215  7  7  9.5 1 22
1  450 0 3 35  9  1.7778  2.60 1985 42 12  6.2972 13300 .7515  3  7  5.0 1  6
1  996 0 0 46 17 13.5540  9.98 1528 59 17 10.4710 31000 .5815 12 12  9.5 1 23
1 1052 0 0 46 14  4.5627  4.90 1920 48 16 14.5830 48800 .4915  7  3 11.0 1 15
1 1128 0 2 43 12  2.1277  2.40 1918 46 10  6.2143 15519 .7215  7  7 14.0 1  6
1 1840 0 0 30 12  2.9891  3.75 2112 30 12  6.6288 19500 .6915  7  7  7.5 0 11
1 1910 0 2 41 11  2.5654  2.57 2144 46  9  3.8246 14545 .7215  3  7  5.0 0  2
1  980 0 1 54 12  5.6122  5.00 1920 54 15  7.8125 22897 .6915  7  7 14.0 1 22
1 2317 0 1 31 12  2.8054  3.87 2241 41  9  3.4806 14300 .7215 10 10  7.5 1 10
1 1089 0 0 44 10  1.6070  0.00  880 47 11  5.5500 14884 .7515 10 10  9.5 1 14
1  800 0 1 32 12  2.2500  0.00 2070 31 16 11.5940 27400 .6215 12  7 11.0 1 12
1 1230 0 0 47  5  2.0325  2.82 1050 53  5  9.5238 16400 .7215  7 12 14.0 1  9
1 1158 0 1 46 17  5.5320  8.10 2635 57 17  7.2805 25704 .6215 14 17  7.5 0 13
1 2272 0 0 37 11  1.5845  3.71 3000 47  8  3.0000 12800 .7215 10 10  7.5 0 18
1  528 0 2 51 12  3.7879  0.00 2500 50 11 10.4000 40000 .6215  7  7  7.5 0  8
1 1000 0 1 49 12  3.0000  0.00 1990 49 12 10.0500 47000 .6615  7  7 14.0 1 11
1  520 0 4 36 14  8.6538  0.00 2390 37 13  8.7866 25872 .6615 10 12  9.5 1  9
1  760 0 1 39 11  4.2105  3.95 1430 44 12 10.1400 26868 .6915 12  7  9.5 1  9
1 1920 0 2 48 12  4.6875  4.30 1800 50  8  5.0000 18000 .6915 12 12  9.5 1 14
1 1220 0 2 38 14  4.0984  4.84 2103 43 17 11.8880 30200 .5815  7  7  5.0 1  9
1  200 0 2 40 12 25.0000  3.00 1350 42 12 13.3330 26220 .6615  7  7  7.5 1  2
1 2480 1 5 39 10  2.6331  4.20 2880 36 17  8.6806 40500 .5815  7  7  3.0 0 12
1 2750 0 0 37 16  6.0000  9.00 2400 43 17  7.2917 33570 .6100 12  7  7.5 1 15
1 2014 0 1 49 13  5.4126  4.05 1135 47 12  3.5242 16917 .7215  7 14 14.0 1 11
1 1355 0 3 33 12  0.6642  1.00 2750 35 17  6.1818 18000 .7215 12  7  9.5 0  7
1   80 0 0 30 12  1.2500  0.00 2085 32 16  2.9755  8337 .7515 12 12 11.0 1  9
1 1670 0 0 54 12  2.2754  2.10 2600 56  8  4.5769 17100 .7215 12  7  9.5 0 19
1  520 0 4 39 11  3.4615  3.05 3542 40 12  3.1056 17800 .7515 10  7 11.0 0 11
1  288 0 3 43 12  4.1667  3.00 1975 43 12  5.8228 13740 .7515 12 12 14.0 1  8
1 2014 0 3 31  9  4.4687  4.26 2400 32 12  7.5000 27000 .6215 10  3  9.5 1 13
1  800 0 3 33 13  1.7500  0.00 3000 37 14  8.3333 32600 .6215 12  7  7.5 1  4
1 1984 0 3 40 12  3.6694  4.25 1960 39 14  9.2347 28030 .6615 12 12 14.0 1  7
1 1823 0 1 36 12  6.5826  6.00 2000 39  9  5.5000 23100 .6615 12 12  3.0 0 19
1 1500 0 0 51 12  2.6000  2.00 3000 51 12  6.0000 24580 .6615  7  7  9.5 1 14
1 2261 0 1 44 13  4.8651  5.50 2400 43 12  6.6667 29000 .6215 12  7  9.5 1 14
1 1728 0 3 42 16  5.7870  6.25 2450 48 14 13.0610 42430 .5215 12 14  9.5 1  3
1 1960 0 1 40 12  4.5408  5.00 2423 40  8 12.7940 41800 .5215 12 12  7.5 1  9
1 1578 1 1 34 16  9.5057  7.72 2000 33 16 12.0000 39100 .5800 12 17  9.5 1  7
1 1316 0 0 30 17 10.6380  7.00 2526 41 16  6.7300 31800 .5815 16 17 11.0 1  7
1 1530 0 0 54 12  1.1111  1.13 2695 53 12  6.6790 22200 .6915  7  7 14.0 0 14
1 2220 0 0 51 12  4.0541  4.37 2048 54 12  4.3945 19500 .6915 16  7  3.0 0 29
1 1336 0 2 44  9  2.6871  2.64 1920 46 11  4.6875 14027 .7515  7 10 11.0 0 19
1 1008 0 1 43 12  2.9762  2.50 2338 42  9  7.6989 21195 .6615  7  7 11.0 1 14
1 1944 0 1 34 12  3.1728  3.23 2945 37  8  4.3287 19013 .6915 10  7  7.5 0 16
1 2000 0 0 45 13  3.5500  3.45 2047 52 12  6.7416 20900 .6615 12  7 11.0 1 10
1  258 0 0 39 12 17.9070  0.00 1668 47  7  9.3525 26820 .6215 10  3 11.0 0 12
1 1785 0 0 50 12  3.4174  5.75  175 48 10  9.1429 12800 .7515  0  0 14.0 1 24
1  480 0 0 52 12  3.3333  0.00 1798 53 12  2.6418  7850 .7515  7  7 14.0 0  6
1  772 0 2 41 12  3.8860  7.50 1222 45 12  7.3650 18600 .7215 12 12  7.5 1  9
1  900 0 0 59 10  2.3111  2.22 1820 59  7  1.4066  5380 .7715 12  7  5.0 0 14
1 1428 0 0 52 12  1.7108  2.50 1560 60  8  1.5192  6114 .7715 10  7 14.0 0 26
1  210 0 0 46 16  2.1143  4.00 2210 49 12  3.3439  8234 .7515 12 12 14.0 0  7
1  239 1 5 41 12  9.9331  4.50 2874 48 16  2.9106 20646 .7215  3  7 11.0 1  4
1 1878 0 2 33 11  3.0277  3.50 2499 35  8  4.3834 16640 .7215  7  7  9.5 0 15
1  215 0 0 45 12  1.8605  2.30 3088 38 12  4.2098 13900 .7215 12 12  5.0 1 23
1 2340 1 2 36 10  0.1282  0.00 2020 37  8  3.7129 11500 .7815 10  7  7.5 0  1
1 1960 0 1 48 12  6.6327  6.30 1980 56 10 10.6060 34000 .5515  7  7 14.0 1 29
1  532 0 1 47 12  5.6391  3.60 1968 47 11  8.6382 28700 .6615  7  3 11.0 1  9
1  394 0 0 45 12  1.5990  2.50 2100 45 12  3.8367  9563 .7515  7  7  7.5 0  6
1  675 0 2 37 12  2.6667  3.00 2651 48 17  7.1671 20960 .6915  7  7  7.5 0 11
1 1515 0 4 46 16  7.9208  6.80 1918 49 14  8.8634 38590 .6215 12 10 14.0 1 17
1 1030 0 3 43 17  5.3398  5.80 2585 46 16  7.7369 27900 .6615 12 12  5.0 1  6
1 1250 0 2 42 12  4.0000  4.00 2250 46 17  9.1702 25633 .6215  7  7  7.5 1  7
1 1158 1 2 34 17  6.0449  5.10 2480 39 17 11.2900 35200 .5515 12 12  7.5 1  2
1  112 0 0 52 12  6.2500  0.00 2924 53 12  6.3269 29500 .5815  7  7  7.5 1 24
1  336 0 3 37 12  2.9762  2.20 1896 52  9  4.7468 10000 .7515 10  7  7.5 0  4
1 1984 0 1 37 12  4.2339  4.78 2332 40 12  4.8885 19800 .6915 10  7  5.0 0 11
1  716 0 0 52  8  3.4916  2.20 3482 59  7  2.4842 12900 .7215  7  7  5.0 0 25
1 1410 1 0 30 12  4.9645  1.28 2106 30 14  8.5470 26080 .6215 12 12  7.5 0 11
1 1300 0 1 31 13  2.7692  0.00 1160 32 12  6.6379 13066 .7515 17  7 11.0 1  2
1 1640 0 1 38 12  3.6585  3.25 2040 46 12  3.1863 12500 .7215  7  7  7.5 0 19
1 1202 0 3 43 12  5.3935  0.00 2856 48 16  4.5466 35600 .5815  7  7  9.0 1  7
1  489 0 1 49  8  0.6564  2.29  950 51  8 12.7890 19424 .7515  7  7  5.0 1  2
1 2076 0 0 55 12  4.7688  4.68 2068 58 10  6.5280 26250 .6615  7  7  5.0 1 20
1  526 0 2 38 17  8.5551  4.20 1896 42 17 16.4030 36525 .5515 12 14  9.5 1 10
1 1721 0 0 52 17 10.4590  9.50 2000 56 16  7.0000 34700 .6100 14 17 14.0 1 19
1 1327 0 0 48 12  2.6375  2.57  288 51 11 13.5420  8311 .7515  7  7 11.0 1 17
1  584 0 2 32 13  6.8493  4.32 2160 33 12  6.7130 28626 .6915 12 10 11.0 1 12
1 1376 0 1 32 12  5.0872  5.00 3120 33 17  5.4487 24400 .6615  7  7  5.0 1 11
1 1040 0 2 38 12  0.9615  0.00 1944 41 17  6.6872 14025 .7215  7  7  7.5 1  6
1  548 0 3 46 12  4.3066  3.69 2046 47 12  9.0943 21367 .6915 16 12 14.0 1 10
1   15 0 3 40 12  7.0667  0.00 2005 42  9  6.5337 14136 .7515  7  7  7.5 0  4
1 1980 0 4 31  9  2.5253  2.56 2070 36 10  4.6860 19900 .7515 10  7  5.0 1  2
1 1520 0 1 43 10  7.8947  5.00 3000 50 12  8.0000 37000 .5215 12  9  9.5 1 13
1 1880 0 0 51 12  4.1489  3.90 2640 51 12  4.0530 18500 .6915  7  7  7.5 0 21
1 1260 1 0 30 16  8.1746  8.17 2450 34 17  8.1633 34550 .5515 16 14  5.0 1  9
1 1092 0 0 52 13  9.5971  0.00 1000 53 15 16.5000 49620 .4615 10  7 11.0 1  4
1 1587 1 5 30  8  2.0164  2.30 2080 33  8  3.4615 10400 .7815  3  3  7.5 0  2
1  156 0 0 51 16  7.6218  0.00 2413 51 16 11.3610 33000 .5515 16 16 11.0 1 19
1 1939 0 2 31 13  3.1975  3.43 2570 31 12  3.8911 16200 .7215  7  3  7.5 1  4
1 1250 0 4 34 12  1.6000  1.36 2030 52 12  9.6059 22660 .6915 12 16  7.5 1  9
1  610 0 0 49 11  4.0984  4.00 4684 59 17  2.6687 16000 .7215  7  7  7.5 1 14
1  270 1 3 35 13  1.4815  5.00 2802 41 17  8.8865 25780 .6615  7 16  9.5 1  6
1  660 1 0 53 12  3.6364  3.15 2090 59 12  6.3636 20675 .7215  7 12  7.5 1 24
1 1000 0 3 32 12  1.0000  0.00 2053 46 16 17.7280 40213 .5515 12  7 11.0 0  1
1 1920 0 3 38 10  2.6042  2.93 1984 42 10  5.2923 15500 .7215 12  7  7.5 1 13
1  200 0 0 54 12  1.7500  0.00 2040 54 16 15.6860 35207 .5815  7 12  9.5 1  3
1 1500 0 1 47 17  4.8000  3.60 2794 58  8  5.2423 35702 .5515 10 12 11.0 1 10
1  868 0 1 45 15  5.5300  6.00 3290 47 14  3.0395 17800 .7215 14 12  9.5 1 16
1 2318 0 1 47 16  4.0984  4.20 1911 46 16 16.7450 50900 .4915 16 16  5.0 1  9
